type,name,notice,furigana
North《川根エリア》,"茶房""遊""",川根茶問屋朝日園超区営ショップ 茶カフェ、ギャラリーショップなど<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,さ
North《川根エリア》,マルイエ醤油川根本家,創業明治43年 昔ながらの製法で味噌醤油を製造販売<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,ま
South《初倉エリア》,お茶のさすき園,自社生産のお茶はもちろん、お茶をつかったスイーツを販売。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,お
South《初倉エリア》,クルマ買取・輸出カースタ/田中石油,どんなクルマでも最低2万円以上で買取ります。(軽は5千円から)<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,く
South《初倉エリア》,パティスリー アルペンローゼ,フルーツたっぷりのおいしいケーキと焼菓子のかわいいラッピングがいっぱい<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
West《金谷エリア》,写真工房モリサワ,証明写真、家族写真、出張撮影など写真の事なら何でも<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,し
West《金谷エリア》,This is Cafe 新金谷駅店,SLの見える駅でおいしいラテをどうぞ<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,て
West《金谷エリア》,とろろ屋ととろ,地元の食材を使ったとろろ料理 創作料理のお店<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,と
West《金谷エリア》,中屋酒店,田舎の昔ながらの小さな酒屋です。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,な
West《金谷エリア》,花と香りの店 カモマイル,島田市の金谷栄町で経営しているお花屋さん。店舗名の『カモマイル』はハーブのカモマイルからとったものです。<br/><li><a href="URL">地図</a></li><br/><li><a href="http://localhost:8080/shimaatsu3/index.html">詳細</a></li>,は
